model,seed,task,strategy,slice_key,horizon,legacy_score,feature_score,hygiene_score,spec_score,silent_spec_failure,strict_feature_pass,legacy_regression,failure_count,infra_clean,model_call_failure_count_so_far,parse_failure_count_so_far,fallback_to_previous_code_count_so_far,baseline_matched_feature_score,baseline_adjusted_feature_lift
baseline:copy,1,todo_tags,no_anchor,baseline:copy|1|todo_tags|no_anchor,5,1.0,0.0,1.0,0.6,True,False,False,2,True,0,0,0,0.0,0.0
baseline:copy,1,todo_tags,no_anchor,baseline:copy|1|todo_tags|no_anchor,10,1.0,0.0,1.0,0.6,True,False,False,3,True,0,0,0,0.0,0.0
baseline:copy,1,todo_tags,no_anchor,baseline:copy|1|todo_tags|no_anchor,20,1.0,0.0,1.0,0.6,True,False,False,3,True,0,0,0,0.0,0.0
baseline:copy,1,todo_tags,active_constraints,baseline:copy|1|todo_tags|active_constraints,5,1.0,0.0,1.0,0.6,True,False,False,2,True,0,0,0,0.0,0.0
baseline:copy,1,todo_tags,active_constraints,baseline:copy|1|todo_tags|active_constraints,10,1.0,0.0,1.0,0.6,True,False,False,3,True,0,0,0,0.0,0.0
baseline:copy,1,todo_tags,active_constraints,baseline:copy|1|todo_tags|active_constraints,20,1.0,0.0,1.0,0.6,True,False,False,3,True,0,0,0,0.0,0.0
baseline:copy,1,todo_done_filter,no_anchor,baseline:copy|1|todo_done_filter|no_anchor,5,1.0,0.0,1.0,0.6,True,False,False,2,True,0,0,0,0.0,0.0
baseline:copy,1,todo_done_filter,no_anchor,baseline:copy|1|todo_done_filter|no_anchor,10,1.0,0.0,1.0,0.6,True,False,False,3,True,0,0,0,0.0,0.0
baseline:copy,1,todo_done_filter,no_anchor,baseline:copy|1|todo_done_filter|no_anchor,20,1.0,0.0,1.0,0.6,True,False,False,3,True,0,0,0,0.0,0.0
baseline:copy,1,todo_done_filter,active_constraints,baseline:copy|1|todo_done_filter|active_constraints,5,1.0,0.0,1.0,0.6,True,False,False,2,True,0,0,0,0.0,0.0
baseline:copy,1,todo_done_filter,active_constraints,baseline:copy|1|todo_done_filter|active_constraints,10,1.0,0.0,1.0,0.6,True,False,False,3,True,0,0,0,0.0,0.0
baseline:copy,1,todo_done_filter,active_constraints,baseline:copy|1|todo_done_filter|active_constraints,20,1.0,0.0,1.0,0.6,True,False,False,3,True,0,0,0,0.0,0.0
baseline:copy,1,redactor_aws,no_anchor,baseline:copy|1|redactor_aws|no_anchor,5,1.0,0.0,1.0,0.6,True,False,False,1,True,0,0,0,0.0,0.0
baseline:copy,1,redactor_aws,no_anchor,baseline:copy|1|redactor_aws|no_anchor,10,1.0,0.0,1.0,0.6,True,False,False,1,True,0,0,0,0.0,0.0
baseline:copy,1,redactor_aws,no_anchor,baseline:copy|1|redactor_aws|no_anchor,20,1.0,0.0,1.0,0.6,True,False,False,1,True,0,0,0,0.0,0.0
baseline:copy,1,redactor_aws,active_constraints,baseline:copy|1|redactor_aws|active_constraints,5,1.0,0.0,1.0,0.6,True,False,False,1,True,0,0,0,0.0,0.0
baseline:copy,1,redactor_aws,active_constraints,baseline:copy|1|redactor_aws|active_constraints,10,1.0,0.0,1.0,0.6,True,False,False,1,True,0,0,0,0.0,0.0
baseline:copy,1,redactor_aws,active_constraints,baseline:copy|1|redactor_aws|active_constraints,20,1.0,0.0,1.0,0.6,True,False,False,1,True,0,0,0,0.0,0.0
baseline:copy,1,config_timeout,no_anchor,baseline:copy|1|config_timeout|no_anchor,5,1.0,0.0,1.0,0.6,True,False,False,2,True,0,0,0,0.0,0.0
baseline:copy,1,config_timeout,no_anchor,baseline:copy|1|config_timeout|no_anchor,10,1.0,0.0,1.0,0.6,True,False,False,5,True,0,0,0,0.0,0.0
baseline:copy,1,config_timeout,no_anchor,baseline:copy|1|config_timeout|no_anchor,20,1.0,0.0,1.0,0.6,True,False,False,5,True,0,0,0,0.0,0.0
baseline:copy,1,config_timeout,active_constraints,baseline:copy|1|config_timeout|active_constraints,5,1.0,0.0,1.0,0.6,True,False,False,2,True,0,0,0,0.0,0.0
baseline:copy,1,config_timeout,active_constraints,baseline:copy|1|config_timeout|active_constraints,10,1.0,0.0,1.0,0.6,True,False,False,5,True,0,0,0,0.0,0.0
baseline:copy,1,config_timeout,active_constraints,baseline:copy|1|config_timeout|active_constraints,20,1.0,0.0,1.0,0.6,True,False,False,5,True,0,0,0,0.0,0.0
baseline:copy,2,todo_tags,no_anchor,baseline:copy|2|todo_tags|no_anchor,5,1.0,0.0,1.0,0.6,True,False,False,2,True,0,0,0,0.0,0.0
baseline:copy,2,todo_tags,no_anchor,baseline:copy|2|todo_tags|no_anchor,10,1.0,0.0,1.0,0.6,True,False,False,3,True,0,0,0,0.0,0.0
baseline:copy,2,todo_tags,no_anchor,baseline:copy|2|todo_tags|no_anchor,20,1.0,0.0,1.0,0.6,True,False,False,3,True,0,0,0,0.0,0.0
baseline:copy,2,todo_tags,active_constraints,baseline:copy|2|todo_tags|active_constraints,5,1.0,0.0,1.0,0.6,True,False,False,2,True,0,0,0,0.0,0.0
baseline:copy,2,todo_tags,active_constraints,baseline:copy|2|todo_tags|active_constraints,10,1.0,0.0,1.0,0.6,True,False,False,3,True,0,0,0,0.0,0.0
baseline:copy,2,todo_tags,active_constraints,baseline:copy|2|todo_tags|active_constraints,20,1.0,0.0,1.0,0.6,True,False,False,3,True,0,0,0,0.0,0.0
baseline:copy,2,todo_done_filter,no_anchor,baseline:copy|2|todo_done_filter|no_anchor,5,1.0,0.0,1.0,0.6,True,False,False,2,True,0,0,0,0.0,0.0
baseline:copy,2,todo_done_filter,no_anchor,baseline:copy|2|todo_done_filter|no_anchor,10,1.0,0.0,1.0,0.6,True,False,False,3,True,0,0,0,0.0,0.0
baseline:copy,2,todo_done_filter,no_anchor,baseline:copy|2|todo_done_filter|no_anchor,20,1.0,0.0,1.0,0.6,True,False,False,3,True,0,0,0,0.0,0.0
baseline:copy,2,todo_done_filter,active_constraints,baseline:copy|2|todo_done_filter|active_constraints,5,1.0,0.0,1.0,0.6,True,False,False,2,True,0,0,0,0.0,0.0
baseline:copy,2,todo_done_filter,active_constraints,baseline:copy|2|todo_done_filter|active_constraints,10,1.0,0.0,1.0,0.6,True,False,False,3,True,0,0,0,0.0,0.0
baseline:copy,2,todo_done_filter,active_constraints,baseline:copy|2|todo_done_filter|active_constraints,20,1.0,0.0,1.0,0.6,True,False,False,3,True,0,0,0,0.0,0.0
baseline:copy,2,redactor_aws,no_anchor,baseline:copy|2|redactor_aws|no_anchor,5,1.0,0.0,1.0,0.6,True,False,False,1,True,0,0,0,0.0,0.0
baseline:copy,2,redactor_aws,no_anchor,baseline:copy|2|redactor_aws|no_anchor,10,1.0,0.0,1.0,0.6,True,False,False,1,True,0,0,0,0.0,0.0
baseline:copy,2,redactor_aws,no_anchor,baseline:copy|2|redactor_aws|no_anchor,20,1.0,0.0,1.0,0.6,True,False,False,1,True,0,0,0,0.0,0.0
baseline:copy,2,redactor_aws,active_constraints,baseline:copy|2|redactor_aws|active_constraints,5,1.0,0.0,1.0,0.6,True,False,False,1,True,0,0,0,0.0,0.0
baseline:copy,2,redactor_aws,active_constraints,baseline:copy|2|redactor_aws|active_constraints,10,1.0,0.0,1.0,0.6,True,False,False,1,True,0,0,0,0.0,0.0
baseline:copy,2,redactor_aws,active_constraints,baseline:copy|2|redactor_aws|active_constraints,20,1.0,0.0,1.0,0.6,True,False,False,1,True,0,0,0,0.0,0.0
baseline:copy,2,config_timeout,no_anchor,baseline:copy|2|config_timeout|no_anchor,5,1.0,0.0,1.0,0.6,True,False,False,2,True,0,0,0,0.0,0.0
baseline:copy,2,config_timeout,no_anchor,baseline:copy|2|config_timeout|no_anchor,10,1.0,0.0,1.0,0.6,True,False,False,5,True,0,0,0,0.0,0.0
baseline:copy,2,config_timeout,no_anchor,baseline:copy|2|config_timeout|no_anchor,20,1.0,0.0,1.0,0.6,True,False,False,5,True,0,0,0,0.0,0.0
baseline:copy,2,config_timeout,active_constraints,baseline:copy|2|config_timeout|active_constraints,5,1.0,0.0,1.0,0.6,True,False,False,2,True,0,0,0,0.0,0.0
baseline:copy,2,config_timeout,active_constraints,baseline:copy|2|config_timeout|active_constraints,10,1.0,0.0,1.0,0.6,True,False,False,5,True,0,0,0,0.0,0.0
baseline:copy,2,config_timeout,active_constraints,baseline:copy|2|config_timeout|active_constraints,20,1.0,0.0,1.0,0.6,True,False,False,5,True,0,0,0,0.0,0.0
baseline:copy,3,todo_tags,no_anchor,baseline:copy|3|todo_tags|no_anchor,5,1.0,0.0,1.0,0.6,True,False,False,2,True,0,0,0,0.0,0.0
baseline:copy,3,todo_tags,no_anchor,baseline:copy|3|todo_tags|no_anchor,10,1.0,0.0,1.0,0.6,True,False,False,3,True,0,0,0,0.0,0.0
baseline:copy,3,todo_tags,no_anchor,baseline:copy|3|todo_tags|no_anchor,20,1.0,0.0,1.0,0.6,True,False,False,3,True,0,0,0,0.0,0.0
baseline:copy,3,todo_tags,active_constraints,baseline:copy|3|todo_tags|active_constraints,5,1.0,0.0,1.0,0.6,True,False,False,2,True,0,0,0,0.0,0.0
baseline:copy,3,todo_tags,active_constraints,baseline:copy|3|todo_tags|active_constraints,10,1.0,0.0,1.0,0.6,True,False,False,3,True,0,0,0,0.0,0.0
baseline:copy,3,todo_tags,active_constraints,baseline:copy|3|todo_tags|active_constraints,20,1.0,0.0,1.0,0.6,True,False,False,3,True,0,0,0,0.0,0.0
baseline:copy,3,todo_done_filter,no_anchor,baseline:copy|3|todo_done_filter|no_anchor,5,1.0,0.0,1.0,0.6,True,False,False,2,True,0,0,0,0.0,0.0
baseline:copy,3,todo_done_filter,no_anchor,baseline:copy|3|todo_done_filter|no_anchor,10,1.0,0.0,1.0,0.6,True,False,False,3,True,0,0,0,0.0,0.0
baseline:copy,3,todo_done_filter,no_anchor,baseline:copy|3|todo_done_filter|no_anchor,20,1.0,0.0,1.0,0.6,True,False,False,3,True,0,0,0,0.0,0.0
baseline:copy,3,todo_done_filter,active_constraints,baseline:copy|3|todo_done_filter|active_constraints,5,1.0,0.0,1.0,0.6,True,False,False,2,True,0,0,0,0.0,0.0
baseline:copy,3,todo_done_filter,active_constraints,baseline:copy|3|todo_done_filter|active_constraints,10,1.0,0.0,1.0,0.6,True,False,False,3,True,0,0,0,0.0,0.0
baseline:copy,3,todo_done_filter,active_constraints,baseline:copy|3|todo_done_filter|active_constraints,20,1.0,0.0,1.0,0.6,True,False,False,3,True,0,0,0,0.0,0.0
baseline:copy,3,redactor_aws,no_anchor,baseline:copy|3|redactor_aws|no_anchor,5,1.0,0.0,1.0,0.6,True,False,False,1,True,0,0,0,0.0,0.0
baseline:copy,3,redactor_aws,no_anchor,baseline:copy|3|redactor_aws|no_anchor,10,1.0,0.0,1.0,0.6,True,False,False,1,True,0,0,0,0.0,0.0
baseline:copy,3,redactor_aws,no_anchor,baseline:copy|3|redactor_aws|no_anchor,20,1.0,0.0,1.0,0.6,True,False,False,1,True,0,0,0,0.0,0.0
baseline:copy,3,redactor_aws,active_constraints,baseline:copy|3|redactor_aws|active_constraints,5,1.0,0.0,1.0,0.6,True,False,False,1,True,0,0,0,0.0,0.0
baseline:copy,3,redactor_aws,active_constraints,baseline:copy|3|redactor_aws|active_constraints,10,1.0,0.0,1.0,0.6,True,False,False,1,True,0,0,0,0.0,0.0
baseline:copy,3,redactor_aws,active_constraints,baseline:copy|3|redactor_aws|active_constraints,20,1.0,0.0,1.0,0.6,True,False,False,1,True,0,0,0,0.0,0.0
baseline:copy,3,config_timeout,no_anchor,baseline:copy|3|config_timeout|no_anchor,5,1.0,0.0,1.0,0.6,True,False,False,2,True,0,0,0,0.0,0.0
baseline:copy,3,config_timeout,no_anchor,baseline:copy|3|config_timeout|no_anchor,10,1.0,0.0,1.0,0.6,True,False,False,5,True,0,0,0,0.0,0.0
baseline:copy,3,config_timeout,no_anchor,baseline:copy|3|config_timeout|no_anchor,20,1.0,0.0,1.0,0.6,True,False,False,5,True,0,0,0,0.0,0.0
baseline:copy,3,config_timeout,active_constraints,baseline:copy|3|config_timeout|active_constraints,5,1.0,0.0,1.0,0.6,True,False,False,2,True,0,0,0,0.0,0.0
baseline:copy,3,config_timeout,active_constraints,baseline:copy|3|config_timeout|active_constraints,10,1.0,0.0,1.0,0.6,True,False,False,5,True,0,0,0,0.0,0.0
baseline:copy,3,config_timeout,active_constraints,baseline:copy|3|config_timeout|active_constraints,20,1.0,0.0,1.0,0.6,True,False,False,5,True,0,0,0,0.0,0.0
qwen2.5-coder:1.5b,1,todo_tags,no_anchor,qwen2.5-coder:1.5b|1|todo_tags|no_anchor,5,1.0,0.0,1.0,0.6,True,False,False,2,True,0,0,0,0.0,0.0
qwen2.5-coder:1.5b,1,todo_tags,no_anchor,qwen2.5-coder:1.5b|1|todo_tags|no_anchor,10,1.0,0.0,1.0,0.6,True,False,False,3,True,0,0,0,0.0,0.0
qwen2.5-coder:1.5b,1,todo_tags,no_anchor,qwen2.5-coder:1.5b|1|todo_tags|no_anchor,20,1.0,0.0,1.0,0.6,True,False,False,3,True,0,0,0,0.0,0.0
qwen2.5-coder:1.5b,1,todo_tags,active_constraints,qwen2.5-coder:1.5b|1|todo_tags|active_constraints,5,1.0,0.0,1.0,0.6,True,False,False,2,True,0,0,0,0.0,0.0
qwen2.5-coder:1.5b,1,todo_tags,active_constraints,qwen2.5-coder:1.5b|1|todo_tags|active_constraints,10,1.0,0.0,1.0,0.6,True,False,False,3,True,0,0,0,0.0,0.0
qwen2.5-coder:1.5b,1,todo_tags,active_constraints,qwen2.5-coder:1.5b|1|todo_tags|active_constraints,20,1.0,0.0,1.0,0.6,True,False,False,3,True,0,0,0,0.0,0.0
qwen2.5-coder:1.5b,1,todo_done_filter,no_anchor,qwen2.5-coder:1.5b|1|todo_done_filter|no_anchor,5,1.0,0.0,1.0,0.6,True,False,False,2,True,0,0,0,0.0,0.0
qwen2.5-coder:1.5b,1,todo_done_filter,no_anchor,qwen2.5-coder:1.5b|1|todo_done_filter|no_anchor,10,1.0,0.3333333333333333,1.0,0.7333333333333333,True,False,False,2,True,0,0,0,0.0,0.3333333333333333
qwen2.5-coder:1.5b,1,todo_done_filter,no_anchor,qwen2.5-coder:1.5b|1|todo_done_filter|no_anchor,20,1.0,0.3333333333333333,1.0,0.7333333333333333,True,False,False,2,True,0,0,0,0.0,0.3333333333333333
qwen2.5-coder:1.5b,1,todo_done_filter,active_constraints,qwen2.5-coder:1.5b|1|todo_done_filter|active_constraints,5,1.0,0.0,1.0,0.6,True,False,False,2,True,0,0,0,0.0,0.0
qwen2.5-coder:1.5b,1,todo_done_filter,active_constraints,qwen2.5-coder:1.5b|1|todo_done_filter|active_constraints,10,1.0,0.3333333333333333,1.0,0.7333333333333333,True,False,False,2,True,0,0,0,0.0,0.3333333333333333
qwen2.5-coder:1.5b,1,todo_done_filter,active_constraints,qwen2.5-coder:1.5b|1|todo_done_filter|active_constraints,20,1.0,1.0,0.8,0.9500000000000001,False,True,False,1,True,0,0,0,0.0,1.0
qwen2.5-coder:1.5b,1,redactor_aws,no_anchor,qwen2.5-coder:1.5b|1|redactor_aws|no_anchor,5,1.0,0.0,1.0,0.6,True,False,False,1,True,0,0,0,0.0,0.0
qwen2.5-coder:1.5b,1,redactor_aws,no_anchor,qwen2.5-coder:1.5b|1|redactor_aws|no_anchor,10,1.0,0.0,1.0,0.6,True,False,False,1,True,0,0,0,0.0,0.0
qwen2.5-coder:1.5b,1,redactor_aws,no_anchor,qwen2.5-coder:1.5b|1|redactor_aws|no_anchor,20,1.0,0.0,1.0,0.6,True,False,False,1,True,0,0,0,0.0,0.0
qwen2.5-coder:1.5b,1,redactor_aws,active_constraints,qwen2.5-coder:1.5b|1|redactor_aws|active_constraints,5,1.0,0.0,1.0,0.6,True,False,False,1,True,0,0,0,0.0,0.0
qwen2.5-coder:1.5b,1,redactor_aws,active_constraints,qwen2.5-coder:1.5b|1|redactor_aws|active_constraints,10,1.0,0.0,1.0,0.6,True,False,False,1,True,0,0,0,0.0,0.0
qwen2.5-coder:1.5b,1,redactor_aws,active_constraints,qwen2.5-coder:1.5b|1|redactor_aws|active_constraints,20,1.0,0.0,1.0,0.6,True,False,False,1,True,0,0,0,0.0,0.0
qwen2.5-coder:1.5b,1,config_timeout,no_anchor,qwen2.5-coder:1.5b|1|config_timeout|no_anchor,5,1.0,0.0,1.0,0.6,True,False,False,2,True,0,0,0,0.0,0.0
qwen2.5-coder:1.5b,1,config_timeout,no_anchor,qwen2.5-coder:1.5b|1|config_timeout|no_anchor,10,1.0,0.0,1.0,0.6,True,False,False,5,True,0,0,0,0.0,0.0
qwen2.5-coder:1.5b,1,config_timeout,no_anchor,qwen2.5-coder:1.5b|1|config_timeout|no_anchor,20,1.0,0.0,1.0,0.6,True,False,False,5,True,0,0,0,0.0,0.0
qwen2.5-coder:1.5b,1,config_timeout,active_constraints,qwen2.5-coder:1.5b|1|config_timeout|active_constraints,5,1.0,0.0,1.0,0.6,True,False,False,2,True,0,0,0,0.0,0.0
qwen2.5-coder:1.5b,1,config_timeout,active_constraints,qwen2.5-coder:1.5b|1|config_timeout|active_constraints,10,1.0,0.0,1.0,0.6,True,False,False,5,True,0,0,0,0.0,0.0
qwen2.5-coder:1.5b,1,config_timeout,active_constraints,qwen2.5-coder:1.5b|1|config_timeout|active_constraints,20,1.0,0.0,1.0,0.6,True,False,False,5,True,0,0,0,0.0,0.0
qwen2.5-coder:1.5b,2,todo_tags,no_anchor,qwen2.5-coder:1.5b|2|todo_tags|no_anchor,5,1.0,0.0,1.0,0.6,True,False,False,2,True,0,0,0,0.0,0.0
qwen2.5-coder:1.5b,2,todo_tags,no_anchor,qwen2.5-coder:1.5b|2|todo_tags|no_anchor,10,1.0,0.0,1.0,0.6,True,False,False,3,True,0,0,0,0.0,0.0
