model,seed,task,strategy,horizon,legacy_score,feature_score,hygiene_score,spec_score,silent_spec_failure,failure_count
baseline:copy,1,todo_tags,no_anchor,5,1.0,0.0,1.0,0.6,True,2
baseline:copy,1,todo_tags,no_anchor,10,1.0,0.0,1.0,0.6,True,3
baseline:copy,1,todo_tags,no_anchor,20,1.0,0.0,1.0,0.6,True,3
baseline:copy,1,todo_tags,active_constraints,5,1.0,0.0,1.0,0.6,True,2
baseline:copy,1,todo_tags,active_constraints,10,1.0,0.0,1.0,0.6,True,3
baseline:copy,1,todo_tags,active_constraints,20,1.0,0.0,1.0,0.6,True,3
baseline:copy,1,todo_done_filter,no_anchor,5,1.0,0.0,1.0,0.6,True,2
baseline:copy,1,todo_done_filter,no_anchor,10,1.0,0.0,1.0,0.6,True,3
baseline:copy,1,todo_done_filter,no_anchor,20,1.0,0.0,1.0,0.6,True,3
baseline:copy,1,todo_done_filter,active_constraints,5,1.0,0.0,1.0,0.6,True,2
baseline:copy,1,todo_done_filter,active_constraints,10,1.0,0.0,1.0,0.6,True,3
baseline:copy,1,todo_done_filter,active_constraints,20,1.0,0.0,1.0,0.6,True,3
baseline:copy,1,redactor_aws,no_anchor,5,1.0,0.0,1.0,0.6,True,1
baseline:copy,1,redactor_aws,no_anchor,10,1.0,0.0,1.0,0.6,True,1
baseline:copy,1,redactor_aws,no_anchor,20,1.0,0.0,1.0,0.6,True,1
baseline:copy,1,redactor_aws,active_constraints,5,1.0,0.0,1.0,0.6,True,1
baseline:copy,1,redactor_aws,active_constraints,10,1.0,0.0,1.0,0.6,True,1
baseline:copy,1,redactor_aws,active_constraints,20,1.0,0.0,1.0,0.6,True,1
baseline:copy,1,config_timeout,no_anchor,5,1.0,0.5,1.0,0.8,False,1
baseline:copy,1,config_timeout,no_anchor,10,1.0,0.5,1.0,0.8,False,2
baseline:copy,1,config_timeout,no_anchor,20,1.0,0.5,1.0,0.8,False,2
baseline:copy,1,config_timeout,active_constraints,5,1.0,0.5,1.0,0.8,False,1
baseline:copy,1,config_timeout,active_constraints,10,1.0,0.5,1.0,0.8,False,2
baseline:copy,1,config_timeout,active_constraints,20,1.0,0.5,1.0,0.8,False,2
baseline:copy,2,todo_tags,no_anchor,5,1.0,0.0,1.0,0.6,True,2
baseline:copy,2,todo_tags,no_anchor,10,1.0,0.0,1.0,0.6,True,3
baseline:copy,2,todo_tags,no_anchor,20,1.0,0.0,1.0,0.6,True,3
baseline:copy,2,todo_tags,active_constraints,5,1.0,0.0,1.0,0.6,True,2
baseline:copy,2,todo_tags,active_constraints,10,1.0,0.0,1.0,0.6,True,3
baseline:copy,2,todo_tags,active_constraints,20,1.0,0.0,1.0,0.6,True,3
baseline:copy,2,todo_done_filter,no_anchor,5,1.0,0.0,1.0,0.6,True,2
baseline:copy,2,todo_done_filter,no_anchor,10,1.0,0.0,1.0,0.6,True,3
baseline:copy,2,todo_done_filter,no_anchor,20,1.0,0.0,1.0,0.6,True,3
baseline:copy,2,todo_done_filter,active_constraints,5,1.0,0.0,1.0,0.6,True,2
baseline:copy,2,todo_done_filter,active_constraints,10,1.0,0.0,1.0,0.6,True,3
baseline:copy,2,todo_done_filter,active_constraints,20,1.0,0.0,1.0,0.6,True,3
baseline:copy,2,redactor_aws,no_anchor,5,1.0,0.0,1.0,0.6,True,1
baseline:copy,2,redactor_aws,no_anchor,10,1.0,0.0,1.0,0.6,True,1
baseline:copy,2,redactor_aws,no_anchor,20,1.0,0.0,1.0,0.6,True,1
baseline:copy,2,redactor_aws,active_constraints,5,1.0,0.0,1.0,0.6,True,1
baseline:copy,2,redactor_aws,active_constraints,10,1.0,0.0,1.0,0.6,True,1
baseline:copy,2,redactor_aws,active_constraints,20,1.0,0.0,1.0,0.6,True,1
baseline:copy,2,config_timeout,no_anchor,5,1.0,0.5,1.0,0.8,False,1
baseline:copy,2,config_timeout,no_anchor,10,1.0,0.5,1.0,0.8,False,2
baseline:copy,2,config_timeout,no_anchor,20,1.0,0.5,1.0,0.8,False,2
baseline:copy,2,config_timeout,active_constraints,5,1.0,0.5,1.0,0.8,False,1
baseline:copy,2,config_timeout,active_constraints,10,1.0,0.5,1.0,0.8,False,2
baseline:copy,2,config_timeout,active_constraints,20,1.0,0.5,1.0,0.8,False,2
baseline:copy,3,todo_tags,no_anchor,5,1.0,0.0,1.0,0.6,True,2
baseline:copy,3,todo_tags,no_anchor,10,1.0,0.0,1.0,0.6,True,3
baseline:copy,3,todo_tags,no_anchor,20,1.0,0.0,1.0,0.6,True,3
baseline:copy,3,todo_tags,active_constraints,5,1.0,0.0,1.0,0.6,True,2
baseline:copy,3,todo_tags,active_constraints,10,1.0,0.0,1.0,0.6,True,3
baseline:copy,3,todo_tags,active_constraints,20,1.0,0.0,1.0,0.6,True,3
baseline:copy,3,todo_done_filter,no_anchor,5,1.0,0.0,1.0,0.6,True,2
baseline:copy,3,todo_done_filter,no_anchor,10,1.0,0.0,1.0,0.6,True,3
baseline:copy,3,todo_done_filter,no_anchor,20,1.0,0.0,1.0,0.6,True,3
baseline:copy,3,todo_done_filter,active_constraints,5,1.0,0.0,1.0,0.6,True,2
baseline:copy,3,todo_done_filter,active_constraints,10,1.0,0.0,1.0,0.6,True,3
baseline:copy,3,todo_done_filter,active_constraints,20,1.0,0.0,1.0,0.6,True,3
baseline:copy,3,redactor_aws,no_anchor,5,1.0,0.0,1.0,0.6,True,1
baseline:copy,3,redactor_aws,no_anchor,10,1.0,0.0,1.0,0.6,True,1
baseline:copy,3,redactor_aws,no_anchor,20,1.0,0.0,1.0,0.6,True,1
baseline:copy,3,redactor_aws,active_constraints,5,1.0,0.0,1.0,0.6,True,1
baseline:copy,3,redactor_aws,active_constraints,10,1.0,0.0,1.0,0.6,True,1
baseline:copy,3,redactor_aws,active_constraints,20,1.0,0.0,1.0,0.6,True,1
baseline:copy,3,config_timeout,no_anchor,5,1.0,0.5,1.0,0.8,False,1
baseline:copy,3,config_timeout,no_anchor,10,1.0,0.5,1.0,0.8,False,2
baseline:copy,3,config_timeout,no_anchor,20,1.0,0.5,1.0,0.8,False,2
baseline:copy,3,config_timeout,active_constraints,5,1.0,0.5,1.0,0.8,False,1
baseline:copy,3,config_timeout,active_constraints,10,1.0,0.5,1.0,0.8,False,2
baseline:copy,3,config_timeout,active_constraints,20,1.0,0.5,1.0,0.8,False,2
qwen2.5-coder:1.5b,1,todo_tags,no_anchor,5,1.0,0.0,1.0,0.6,True,2
qwen2.5-coder:1.5b,1,todo_tags,no_anchor,10,1.0,0.0,1.0,0.6,True,3
qwen2.5-coder:1.5b,1,todo_tags,no_anchor,20,1.0,0.0,1.0,0.6,True,3
qwen2.5-coder:1.5b,1,todo_tags,active_constraints,5,1.0,0.0,1.0,0.6,True,2
qwen2.5-coder:1.5b,1,todo_tags,active_constraints,10,1.0,0.0,1.0,0.6,True,3
qwen2.5-coder:1.5b,1,todo_tags,active_constraints,20,1.0,0.0,1.0,0.6,True,3
qwen2.5-coder:1.5b,1,todo_done_filter,no_anchor,5,1.0,0.0,1.0,0.6,True,2
qwen2.5-coder:1.5b,1,todo_done_filter,no_anchor,10,1.0,0.3333333333333333,1.0,0.7333333333333333,True,2
qwen2.5-coder:1.5b,1,todo_done_filter,no_anchor,20,1.0,0.3333333333333333,1.0,0.7333333333333333,True,2
qwen2.5-coder:1.5b,1,todo_done_filter,active_constraints,5,1.0,0.0,1.0,0.6,True,2
qwen2.5-coder:1.5b,1,todo_done_filter,active_constraints,10,1.0,0.3333333333333333,1.0,0.7333333333333333,True,2
qwen2.5-coder:1.5b,1,todo_done_filter,active_constraints,20,1.0,1.0,0.8,0.9500000000000001,False,1
qwen2.5-coder:1.5b,1,redactor_aws,no_anchor,5,1.0,0.0,1.0,0.6,True,1
qwen2.5-coder:1.5b,1,redactor_aws,no_anchor,10,1.0,0.0,1.0,0.6,True,1
qwen2.5-coder:1.5b,1,redactor_aws,no_anchor,20,1.0,0.0,1.0,0.6,True,1
qwen2.5-coder:1.5b,1,redactor_aws,active_constraints,5,1.0,0.0,1.0,0.6,True,1
qwen2.5-coder:1.5b,1,redactor_aws,active_constraints,10,1.0,0.0,1.0,0.6,True,1
qwen2.5-coder:1.5b,1,redactor_aws,active_constraints,20,1.0,0.0,1.0,0.6,True,1
qwen2.5-coder:1.5b,1,config_timeout,no_anchor,5,1.0,0.5,1.0,0.8,False,1
qwen2.5-coder:1.5b,1,config_timeout,no_anchor,10,1.0,0.5,1.0,0.8,False,2
qwen2.5-coder:1.5b,1,config_timeout,no_anchor,20,1.0,0.5,1.0,0.8,False,2
qwen2.5-coder:1.5b,1,config_timeout,active_constraints,5,1.0,0.5,1.0,0.8,False,1
qwen2.5-coder:1.5b,1,config_timeout,active_constraints,10,1.0,0.5,1.0,0.8,False,2
qwen2.5-coder:1.5b,1,config_timeout,active_constraints,20,1.0,0.5,1.0,0.8,False,2
